resort,ds,Year,Week,prop_hat,prop_lo,prop_hi,y_abs_hat,y_abs_lo,y_abs_hi
Perisher,2026-06-09,2026,1,0.02473116645518674,0.0,0.037825713897186294,10668.465277860549,0.0,26549.95521408606
Perisher,2026-06-16,2026,2,0.023248912261610914,0.0,0.0362660440645161,10029.054378023657,0.0,25455.219386529476
Perisher,2026-06-23,2026,3,0.03424426529523081,0.0066510044615285,0.04435284748341708,14772.200734243786,1125.2313595218045,31131.365226910035
Perisher,2026-06-30,2026,4,0.07093593664241045,0.06864594253643384,0.0686570973339872,30600.15702831342,11613.669437860462,48190.573859389915
Perisher,2026-07-07,2026,5,0.10643016822823541,0.13940525435434317,0.09546921635864906,45911.5649202084,23584.883274243217,67010.0616087664
Perisher,2026-07-14,2026,6,0.1141354341914733,0.1502003331541471,0.09929962577311527,49235.4422041383,25411.218117996552,69698.6347493055
Perisher,2026-07-21,2026,7,0.09940664301005635,0.1247837560077348,0.08916434763240416,42881.77515860958,21111.186472810172,62584.659810204554
Perisher,2026-07-28,2026,8,0.08602181519174354,0.09615426445201583,0.07846761834282887,37107.86347965339,16267.586999677924,55076.60102386259
Perisher,2026-08-04,2026,9,0.08459515563255732,0.09924533207327466,0.07869760322875509,36492.434846390766,16790.540523760144,55238.0279420129
Perisher,2026-08-11,2026,10,0.08590876907968346,0.09815491667009249,0.08133218550755096,37059.09794635372,16606.061680953262,57087.24727730371
Perisher,2026-08-18,2026,11,0.07993152839949326,0.08968653936644647,0.07606305120829983,34480.65164582951,15173.3632424778,53388.829845120665
Perisher,2026-08-25,2026,12,0.06797582795129267,0.06831279313265651,0.0671190185907124,29323.23315789646,11557.306499193888,47110.99286692856
Perisher,2026-09-01,2026,13,0.054473554996542266,0.04094311710069642,0.057988790612236954,23498.65830612113,6926.845348663229,40702.464938498626
Perisher,2026-09-08,2026,14,0.03955222447791107,0.017816746690630235,0.047861462285362304,17061.93414974345,3014.2758461398103,33594.06999193641
Perisher,2026-09-15,2026,15,0.02840859818657239,0.0,0.04143537768097843,12254.826067153703,0.0,29083.58649089637
Selwyn,2026-06-09,2026,1,0.024813611428480358,0.0,0.03738515697295748,1499.576819013838,0.0,3664.2833790603227
Selwyn,2026-06-16,2026,2,0.023328902381048164,0.0,0.03504065331389327,1409.850449399055,0.0,3434.48828160308
Selwyn,2026-06-23,2026,3,0.03425689287003855,0.008589080834332229,0.04442763466248912,2070.268674409411,194.8123614653069,4354.547538277854
