Resort,Date,TempMax,TempMin,Rainfall,TempMax_lag1,TempMax_lag2,TempMin_lag1,TempMin_lag2,Rainfall_lag1,Rainfall_lag2,weekofyear,sin_week,cos_week
Mount Hotham,2017-10-29,10.385714285714286,3.585714285714286,0.0,11.528571428571428,9.6,4.128571428571428,1.1500000000000001,0.0,0.0,43,-0.8854560256532101,0.464723172043768
Mount Hotham,2017-11-05,6.014285714285714,-2.1999999999999997,0.0,10.385714285714286,11.528571428571428,3.585714285714286,4.128571428571428,0.0,0.0,44,-0.822983865893657,0.5680647467311548
Mount Hotham,2017-11-12,11.685714285714285,2.2142857142857144,0.0,6.014285714285714,10.385714285714286,-2.1999999999999997,3.585714285714286,0.0,0.0,45,-0.7485107481711011,0.6631226582407953
Mount Hotham,2017-11-19,14.12,6.7,0.0,11.685714285714285,6.014285714285714,2.2142857142857144,-2.1999999999999997,0.0,0.0,46,-0.6631226582407956,0.7485107481711007
Mount Hotham,2017-11-26,16.875,8.2,0.0,14.12,11.685714285714285,6.7,2.2142857142857144,0.0,0.0,47,-0.5680647467311559,0.8229838658936564
Mount Hotham,2017-12-03,13.919999999999998,8.46,32.8,16.875,14.12,8.2,6.7,0.0,0.0,48,-0.4647231720437684,0.88545602565321
Mount Hotham,2017-12-10,8.35,1.3800000000000001,23.8,13.919999999999998,16.875,8.46,8.2,32.8,0.0,49,-0.35460488704253595,0.9350162426854147
Mount Hotham,2017-12-17,18.366666666666667,11.68,0.2,8.35,13.919999999999998,1.3800000000000001,8.46,23.8,32.8,50,-0.2393156642875578,0.970941817426052
Mount Hotham,2017-12-24,16.571428571428573,9.185714285714285,34.6,18.366666666666667,8.35,11.68,1.3800000000000001,0.2,23.8,51,-0.12053668025532363,0.992708874098054
Mount Hotham,2017-12-31,15.542857142857143,6.371428571428572,99.4,16.571428571428573,18.366666666666667,9.185714285714285,11.68,34.6,0.2,52,6.432490598706546e-16,1.0
Mount Hotham,2018-01-07,18.7,9.5,0.4,15.542857142857143,16.571428571428573,6.371428571428572,9.185714285714285,99.4,34.6,1,0.12053668025532305,0.992708874098054
Mount Hotham,2018-01-14,14.528571428571428,7.528571428571429,64.39999999999999,18.7,15.542857142857143,9.5,6.371428571428572,0.4,99.4,2,0.23931566428755774,0.970941817426052
Mount Hotham,2018-01-21,19.400000000000002,9.157142857142857,0.6000000000000001,14.528571428571428,18.7,7.528571428571429,9.5,64.39999999999999,0.4,3,0.3546048870425356,0.9350162426854148
